;date;text;geo;mentions;hashtags;Unnamed: 5
10687;2013-01-12;Khaki pants or jeans , button down shirts, and dress shoes or combat boots No loose tshirts no boxers showing no sneakers or Tim's.;;;;
10689;2013-01-12;"“@Jboogieo13: "" @M_BERRY_1CHAIN : If dat ass fat n jeans u mite b wrkin wit somethen leggins lie 2 much""ctfu”LOL";;@Jboogieo13 @M_BERRY_1CHAIN;;
10690;2013-01-12;@CallMe_Krissy_ ok, can I wear jeans with a dressy top?;;@CallMe_Krissy_;;
10694;2013-01-12;@kiraivy2 i love so much about it (hair! jeans !), but still get a bit of SHE from the drunk scene & Sherlock rolling around 221B's floor. D:;;@kiraivy2;;
10695;2013-01-12;It's cold so I'm wearing jeans when I leave tonight fuck this;;;;
10696;2013-01-12;So apparently its not a appropriate to wear sweat pants to a lacrosse game and i have to change into jeans #wtf #iwanttobecomfy;;;#wtf #iwanttobecomfy;
10697;2013-01-12;I need a pair of mom jeans ...;;;;
10700;2013-01-12;I've worn denim jeans less than 5 times to school this freshman year. this means I almost always wear colored jeans . #2fab4u .;;;#2fab4u;
10702;2013-01-12;White chocolate from gloria jeans is so nasty;;;;
10703;2013-01-12;If you wear mikes, dress yourself up! Make em look cute! Not no plain ass shirt & jeans Ladies;;;;
10704;2013-01-12;RT @God4Gives_IDont : leggins and skirts are from God himself..... jeans are of the devil;;@God4Gives_IDont;;
10706;2013-01-12;Why are girls wearing white jeans this time of year...ladies Labor Day was a long time ago put those away till summer. #sorrynotsorry;;;#sorrynotsorry;
10707;2013-01-12;Simple makeup and jeans #shitIlike :);;;#shitIlike;
10710;2013-01-12;alexander wayne thats the fucking jeans ,,,;;;;
10712;2013-01-12;no jeans fit me properly so i'm stuck wearing leggings that look like jeans for the rest of my life #hatemybody;;;#hatemybody;
10714;2013-01-12;I'm about to start wearing nothing but Aeropostale, and American eagle jeans !;;;;
10715;2013-01-12;Imma make a jean jacket with old jeans hopefully I succeed;;;;
10716;2013-01-12;I'm a lil ass dude, what I look like wearing baggy jeans , or any size shirt bigger than medium!;;;;
10719;2013-01-12;still can't believe Justin's wearing jeans .;;;;
10720;2013-01-12;Jeans and a t-shirt! <3 #loveit;;;#loveit;
10723;2013-01-12;@EdieMaldonado @TheMainAmyRayne @KimberlyRod266 Yes apple bottom jeans is a must .;San Antonio, TX;@EdieMaldonado @TheMainAmyRayne @KimberlyRod266;;
10724;2013-01-12;Floral print jeans /jeggings were a bad idea in the 80's... Why are women's clothing stores selling them now? We know better!;;;;
10728;2013-01-12;@msggbaby Lil homie just smeared his dirty hands all on my $300 jeans without a care in the world!! Smh. He lucky he's only 5!;;@msggbaby;;
10731;2013-01-12;@BenHewson95 go nice with my new JW gilet and some new jeans I think #vibing #fetch;;@BenHewson95;#vibing #fetch;
10732;2013-01-12;When i dont no what to wear it usually turns out to be a big sweatshirt and skinny jeans . #myfavorite;;;#myfavorite;
10735;2013-01-12;Went to the mall for a dress and a pair of slacks, left with jeans two dresses a sweater a jacket and a belt. I think I have a problem.;;;;
10737;2013-01-12;"“ @jAiSEiz_M0M : "" @M_BERRY_1CHAIN : If dat ass fat n jeans u mite b wrkin wit somethen leggins lie 2 much""shut up mike im ctfu”LOL REAL TLK";;@jAiSEiz_M0M @M_BERRY_1CHAIN;;
10738;2013-01-12;Already decided I'm giving up bread for lent, I'm really going to miss Jeans toadies;;;;
10739;2013-01-12;My Dodgers Jersey, Grey Jeans and My Chucks :D #GoingOut #FuckIt #GoingToHaveAGoodDay;;;#GoingOut #FuckIt #GoingToHaveAGoodDay;
10741;2013-01-12;Why does every girl here look like a prositute? I'm sitting here in a sweater & jeans , warm & they look like they need a couple layers;;;;
10742;2013-01-12;@peter27afcb if you have a decent pitch it doesn't form puddles straight away.. My jeans are a mess! I blame David James for that;;@peter27afcb;;
10744;2013-01-12;@Ayo_Eduardo I'm wearing a blue sweater for sure, but can't decide if I'm wearing jeans or a pencil skirt with sheer tights.;;@Ayo_Eduardo;;
10746;2013-01-12; @GreaterThn : American Eagle Jeans >;;@GreaterThn;;
10748;2013-01-12;@BartMillard @macpowell love me some stonewashed jeans;;@BartMillard @macpowell;;
10750;2013-01-12;Crisp white tee...blue jeans ..Hermes belt... Simple wedge... And of course my Birkin bag...;;;;
10751;2013-01-12;wearing all black and gold, woo'. excluding denim jeans , but yeah.;;;;
10752;2013-01-12;@driansmith Tried my skinny jeans on after the 7th day. Their loose now. #happyshredder #SHREDDIET;;@driansmith;#happyshredder #SHREDDIET;
10753;2013-01-12;"“ @GreaterThn : American Eagle Jeans >"" i refuse to retweet this after today @Kmallowxo";;@GreaterThn @Kmallowxo;;
10756;2013-01-12;@RiseoftheCudi oh wait I have to cover my butt even tho I'm wearing jeans;;@RiseoftheCudi;;
10757;2013-01-12;I'm actually wearing jeans and not sweat or yoga pants! #steppingup;;;#steppingup;
10758;2013-01-12;#ReasonsIHateBlackBoys I don't hate black boys, some are hot. But the jeans halfway down their thighs. #NotAGoodLook;;;#ReasonsIHateBlackBoys #NotAGoodLook;
10760;2013-01-12;The fact that I'm wearing jeans and Mel is wearing sweats right now >>;;;;
10761;2013-01-12;rylan has got the same jeans as me thats so awesome;;;;
10764;2013-01-12;@thojulia like yolo leggings, ew.my wardrobe doesn't consist of anything other than jeans , pencil skirts, blouses, blazers and dresses haha;;@thojulia;;
10765;2013-01-12;I'm sorry but if your boyfriend wearing tight colored jeans , a fitted peacoat with a pashmina, oh and man uggs. He's a flaming homosexual.;;;;
10766;2013-01-12;“ @JasmineTabler : “ @GreaterThn : American Eagle Jeans >””;;@JasmineTabler @GreaterThn;;
10767;2013-01-12;I don't even remember the last time I wore jeans ...;;;;
10770;2013-01-12;I have no problem with strip clubs....we talking real strip clubs....not Stadium....I'm talking Norma Jeans / Fuegos type of Establishments;;;;
10772;2013-01-12;I think I may hate jeans .;;;;
10773;2013-01-12;Not having any jeans that fit me right <<<<<< #preggogirlprobs;;;#preggogirlprobs;
10776;2013-01-12;Got cake on my black jeans lol;;;;
10777;2013-01-12;I finally got myself some high waisted jeans . <3;;;;
10779;2013-01-12;I aint tryna be mean im tryna get in them jeans;;;;
10780;2013-01-12;@TheMainAmyRayne @KimberlyRod266 @Ericaaaa5 can I at leat wear my apple bottom jeans so it'll look perfect with my fur boots?;;@TheMainAmyRayne @KimberlyRod266 @Ericaaaa5;;
10782;2013-01-12;Bought my first pair of colored jeans;;;;
10785;2013-01-12;@jmh6969 I don't get hardly as much of Payton as I'd like. . .inch by inch by inch. Oops, I just creamed my jeans .;;@jmh6969;;
10790;2013-01-12;I got money in theese jeans soo they fit me kinda snug. #ImAboutMybussiness £££;;;#ImAboutMybussiness;
10791;2013-01-12;There's this bitch wearing a tank-top and skinny jeans . Isn't she cold?!;;;;
10793;2013-01-12;Please this ain't even jealousy. She ain't got a thing on me trying to rock them ugly jeans .;;;;
10794;2013-01-12;All red plaid shirt skinny ass jeans onnn;;;;
10795;2013-01-12;"My nephew threw up on my favorite pair of jeans , then he said, ""I'm fine, let's play!"" #prouduncle #playhard";;;#prouduncle #playhard;
10796;2013-01-12;I can't wait for summer, I just really want to wear shorts and t-shirts.... I hate jeans with a passion;;;;
10798;2013-01-12;"Yesssss I need ten more pairs. "" @GreaterThn : American Eagle Jeans >""";;@GreaterThn;;
10799;2013-01-12;Cousins: super skinny, tan, long straight blonde hair, pink shirts, light blue jeans . Me: Curly brown hair, pale, black shirt, dark jeans .;;;;
10800;2013-01-12;really? every fricken time I wear tank and shorts it always rain, and whenever I wear sleeves or long jeans its sunny as fuh. work w/me bro!;;;;
10801;2013-01-12;@GAGACutThroat lana del rey is a main name in my school ~~ but yet born to die, national anthem and blue jeans is all they know lol;;@GAGACutThroat;;
10802;2013-01-12;I have to go take out the jeans from the washer. -_-;;;;
10803;2013-01-12;I'm pretty much completely against wearing jeans on the weekend;;;;
10805;2013-01-12;I truly need custom fit jeans .;;;;
10808;2013-01-12;Put my pink skinny jeans to good use tonight! #gopinkgame !;;;#gopinkgame;
10810;2013-01-12;Someone who looks good in jeans like Dennis quaid;;;;
10811;2013-01-12;Levi's jeans don't do nothing for girls apart from camel toe and a baggy ass;;;;
10812;2013-01-12;jeans n moccasins will be the swagg tanite lol;;;;
10813;2013-01-12;You're trying to fit that thing in here?! - my jeans;;;;
10814;2013-01-12;Shit I don't even remember the last time I wore jeans;;;;
10820;2013-01-12;Lames bug cuffin they jeans and the bitches;;;;
10825;2013-01-12;@6figurekutie I bet those jeans be looking great though;;@6figurekutie;;
10828;2013-01-12;My family is that family that always dresses up when other people are in jeans #itswhateve #pisarczykprobs;;;#itswhateve #pisarczykprobs;
10830;2013-01-12;gabby showed me a pair of jeans that were $198 at Macy's....why would anyone buy those;;;;
10834;2013-01-12;This bitch is wearing an Ed Hardy-T with sparkly UGGS and diamond studded jeans ... #idontunderstand;;;#idontunderstand;
10836;2013-01-12;There's nooo way working out in jeans can be comfortable #whatareyoudoing;;;#whatareyoudoing;
10837;2013-01-12;And I hate skinny jeans cause the burner keep rubbin!;;;;
10840;2013-01-12;DU COUP J AI ACHETEE UNE PAIRE DE BASKET EN JEANS PLATEFORME TAVU #pourparaitreplusgrande #tweetprecedent #shoes;;;#pourparaitreplusgrande #tweetprecedent #shoes;
10841;2013-01-12;Rip Too Mike Seed Myy Seed Nn D Jr Mayy Theyy Rest Next Too One Another As Their Fathers Stayy Tighter Than Boneyy Jeans Aroundd Tha Waist;;;;
10842;2013-01-12;justin with jeans . >> OMFG SEXIEST SHIT I EVER SEEN.;;;;
10843;2013-01-12;I was gonna take a picture of my sexy ass in these jeans but I can't look cute because my fucking bum ass hobo looking hair ugh;;;;
10845;2013-01-12;When my jeans are clean when I need them;;;;
10847;2013-01-12;@_gabriellerosso Lmao thats where I get all my clothes now except jeans and young and reckless;;@_gabriellerosso;;
10848;2013-01-12;@Stephhh_CW @LaFrenchi @MajestyChanty then wear a jacket or wear skinny jeans blazer and hes. joss look nice.;;@Stephhh_CW @LaFrenchi @MajestyChanty;;
10852;2013-01-12;I have 24 pairs of jeans . #Notenough;;;#Notenough;
10853;2013-01-12;@lexxlovely_ no I got two 2 pairs of jeans . Yoga pants and shirts & boots. You should've been there;;@lexxlovely_;;
10854;2013-01-12;@jfedor @raeside we have Hawaiian shirt Friday, so feel free to wear a Hawaiian shirt and jeans ... mmkay. my Initech mug is on my desk too.;;@jfedor @raeside;;
10855;2013-01-12;RT @God4Gives_IDont : leggins and skirts are from God himself..... jeans are of the devil;;@God4Gives_IDont;;
10856;2013-01-12;Skinny jeans fresh out of the dryer is the best feeling ever. I can't think of anything to compare.;;;;
10858;2013-01-12;RT @MTA_Flight850 : You wear Apple Bottom jeans so you would say that. RT @GeorGiaBoy_ : Damn Trell Nelly on yo ass;;@MTA_Flight850 @GeorGiaBoy_;;
10861;2013-01-12;@prodigalsam Using a hand dryer is a great way to find out how absorbent your jeans are.;;@prodigalsam;;
10865;2013-01-12;Splurged on a bunch of new underwear today! My jeans are going to love them!;;;;
10866;2013-01-12;@Carcole3 Lmao. You better start looking in your couches and your jeans my nigga. Lol;;@Carcole3;;
10867;2013-01-12;@tobie_stollery she had flairy jeans on;;@tobie_stollery;;
10870;2013-01-12;RT @MorganFambrough2013Daddy just tried on some colored skinny jeans ******** he said he feels like Ralphy off of a Christmas story. ...;;@MorganFambrough2013Daddy;;
10871;2013-01-12;RT @p0rk_sw0rds2013i really don't like your skinny jeans so take them off for me.;;@p0rk_sw0rds2013i;;
10872;2013-01-12;RT @KamlovesIsis2013My mom done found some skinny jeans ,can't tell her **;;@KamlovesIsis2013My;;
10873;2013-01-12;It's so hard to find jeans for me.;;;;
10874;2013-01-12;RT @qyfisaloz2013Purple hair & cut off jean shorts are in mode? I thought it was all about skinny jeans & braids? #fashion #80's #hip ...;;@qyfisaloz2013Purple;#fashion #80 #hip;
10877;2013-01-12;Dammit I wana wear jeans -____-;;;;
10878;2013-01-12;Okay, I know what I'm wearing to the m&g. A long sleeve shirt, scarf, jeans , and my suede combat boots. Now, how should I do my hair?;;;;
10880;2013-01-12;Sweats or jeans ? Lol this decision is not easy..;;;;
10883;2013-01-12;Jeans or shorts tonight?;;;;
10884;2013-01-12;“ @GreaterThn : American Eagle Jeans >”;;@GreaterThn;;
10885;2013-01-12;The jeans in pacsun are so cute omg;;;;
10886;2013-01-12;"how can a man say ""Girls laugh at boys who have a £200 belt holding up £39 jeans , these times you have £100 weave sitting on your 99p face""";;;;
10888;2013-01-12;A lot of White people see Black people wearing their Jeans down to their knees they call that 'saggin'... Spell that backwards #Racism;;;#Racism;
10889;2013-01-12;“ @OliviaDavis_ : @AndreDynamite I prefer guys in skinny jeans over that label shit anyday.” Thanks but you aint a spice. #Deadlighty;Havering, England;@OliviaDavis_ @AndreDynamite;#Deadlighty;
10890;2013-01-12;Jeans < leggings < no pants #TeamNoPants;;;#TeamNoPants;
10895;2013-01-12;True religion jeans are waist of money they all look the same.;;;;
10897;2013-01-12;“@GJE_XO: @JannaSo5 blue jeans ” on repeattttt;;@GJE_XO @JannaSo5;;
10898;2013-01-12;Imma get your heart racing in my skin tight jeans , be your teenage dream tonight.;;;;
10900;2013-01-12;She can miss me like them jeans I Be rocking;;;;
10903;2013-01-12;Tru jeans I love the way they sittin on her!;;;;
10904;2013-01-12;@brendamlc @sarahecooke @WickLyn You could make an inventory of the contents of his jeans pockets, they're so tight... #hotstuff;;@brendamlc @sarahecooke @WickLyn;#hotstuff;
10908;2013-01-12;Sapphire and faded jeans , I hope you get your dreams, just go ahead let your hair down;;;;
10909;2013-01-12;I found a pair of jeans that aren't too short on me. there is a god;;;;
10911;2013-01-12;@Clodetski have you seen the one where Vince had to fit into the drainpipe jeans ?;;@Clodetski;;
10912;2013-01-12;@patrickandsteve My jeans wouldn't fit you! They'd be like shorts on you!;;@patrickandsteve;;
10914;2013-01-12; @GreaterThn : American Eagle Jeans > *correction* Hollister jeans >;;@GreaterThn;;
10915;2013-01-12;How tf is it that the dimples in this woman's ass shows through her jeans ...yuck :0;;;;
10917;2013-01-12;Putting on jeans after you take a shower is such a struggle;;;;
10922;2013-01-12;New jeans would be a good idea;;;;
10923;2013-01-12;"Why is there a advertisement saying ""Eto Jeans "" on the Everton ground side board, life is sad sometimes";;;;
10925;2013-01-12;“ @MinieSqueeze : Tell me is there anymore room for me in those jeans ”let's that the jeans off then we can have a different conversation;;@MinieSqueeze;;
10926;2013-01-12;“@_asdfghjklissy: Apple bottom jeans , boots wit the FURRRRR” GOT DA WHOLE CLUBA LOOKIN AT HEEEERR;;@_asdfghjklissy;;
10927;2013-01-12;ELLIE FINALLY GOT JEANS . it's a big deal she's been looking for some for atleast 2 months;;;;
10928;2013-01-12;That awkward moment when a guy has tighter jeans than I do.;;;;
10929;2013-01-12;Nigga i cant attend then..lol..RT @jerrell26 : @JamalFrsh @Martyy_McFlyy28 Lmfao yea tall tee and u.s. Polo jeans lmao with fubu cement 3;;@jerrell26 @JamalFrsh @Martyy_McFlyy28;;
10931;2013-01-12;Northface jacket, aero hoody, trues, hollister or levi jeans , and Timbs, Uggs, or jordans....smh everyone wheres that Why.????;;;;
10934;2013-01-12;You know your 20 year old brother is really tiny when you weigh 20 more pounds than him and his jeans are 3 sizes smaller than yours...;;;;
10935;2013-01-12;i really don't like your skinny jeans so take them off for me.;;;;
10936;2013-01-12;"*the lost maddog falls from her jeans * ""oh! There it is! Thanks god!!!""";;;;
10937;2013-01-12;@Noemi_Cueto Are you still wearing your skinni jeans and Jordans??;;@Noemi_Cueto;;
10938;2013-01-12;my boyfriend jeans are all wet.;;;;
10939;2013-01-12;@Jessie_J_xxx Can I like...come with you in your jeans or something?;;@Jessie_J_xxx;;
10942;2013-01-12;But girl I've gotta see what's in those jeans .;;;;
10943;2013-01-12;Grandma got her first pair of slim fit boot cut jeans and sent a selfie. I am overwhelmed by cuteness and obsession has reached new level;;;;
10944;2013-01-12;Need some nice jeans but have no idea where does them nowadays?;;;;
10945;2013-01-12; @Bitch_L0ve : jeans < leggings < no pants #TeamNoPants  ;;@Bitch_L0ve;#TeamNoPants;
10947;2013-01-12;Next is my new favourite shop. I greatly appreciate a good pair of jeans !;;;;
10949;2013-01-12;Jeans clapping, and they ain't using hands.;;;;
10950;2013-01-12;I always wanted ripped jeans , but i dont own a pair .;;;;
10953;2013-01-12;He Got On 150$ Jeans & 450 Dollars Shoes . He Just In Here Bragging .;;;;
10954;2013-01-12;Flex 4 Me setting a new trend with the jeans , but apparently Jon Pynes didn't get the memo...;;;;
10955;2013-01-12;Apple bottom jeans , boots wit the FURRRRR;;;;
10956;2013-01-12;“ @GreaterThn : American Eagle Jeans >”;;@GreaterThn;;
10957;2013-01-12;Changing from leggings, a tank top and jean jacket to Jeans and a sweater;;;;
10958;2013-01-12;I can't fit into my favorite jeans just yet but it does feel fantastic to be down 10 lbs <3;;;;
10960;2013-01-12;My knees are so ugly right now. Thank god it's cold and I just have to wear jeans;;;;
10963;2013-01-12;oh my god, there's these jeans I've been checking on all week and they just came back in stock today in my size -;;;;
10964;2013-01-12;I'm staring at you tryna figure out how you got in them jeans .;;;;
10967;2013-01-12;My weed so strong my jeans so long.;;;;
10968;2013-01-12;Tell me is there anymore room in those jeans );;;;
10969;2013-01-12;my brother w/these wrinkle ass jeans on.;;;;
10970;2013-01-12;Im wearing jeans from freshman year..;;;;
10973;2013-01-12;Bought my first pair of Buckle jeans ! #expensive;;;#expensive;
10975;2013-01-12;I never wear jeans anymore;;;;
10976;2013-01-12;my jeans that fit me in September don't fit me anymore;;;;
10977;2013-01-12;But all she ever want me to do is unzip her jeans . Then all I really want is for her to get on top.....;;;;
10978;2013-01-12;Forgot ALL of my pants/ jeans at home official #TeamNoPants;;;#TeamNoPants;
10980;2013-01-12;i don't remember the last time i wore jeans;;;;
10982;2013-01-12;@JamalFrsh @Martyy_McFlyy28 Lmfao yea tall tee and u.s. Polo jeans lmao with fubu cement 3;;@JamalFrsh @Martyy_McFlyy28;;
10984;2013-01-12;Girls be thinking there butt big when they wear miss me jeans tf... sit down Haha;;;;
10985;2013-01-12;Guys with Hollister jeans are honestly the most attractive thing ever >>>;;;;
10986;2013-01-12;if ya gal is wear jeans alot.. jes tote roun knife so u cud cut da shit open when its time;;;;
10987;2013-01-12;Not about running in vans and jeans;;;;
10988;2013-01-12;Im wearing jeans and straightening my hair and i have a cold fux wit me;;;;
10989;2013-01-12;Anymore more room for in those jeans ,;;;;
10991;2013-01-12;"RTRTRT "" @TallGirlThang : Neve having a pair of jeans that actually go past your ankles """;;@TallGirlThang;;
10994;2013-01-12;Let you put your hands on me in my skin tight jeans be your teenage dream tonight...;;;;
10995;2013-01-12;"where are u going ""nowhere"" ""why r u wearing jeans then""";;;;
10996;2013-01-12;@leighdiffey is that why kiwis wear button fly jeans ? Sheep can't hear the zipper drop? Sorry, filters broke today.;;@leighdiffey;;
10997;2013-01-12;I MAKE YOUR JEANS VIBRATE LIKE A NOKIA;;;;
10999;2013-01-12;Can't wait for my chino voi jeans to come #Splash #LOVE #celebration #amazing #AwesomeeStuff;;;#Splash #LOVE #celebration #amazing #AwesomeeStuff;
11000;2013-01-12;If one more jewel falls on my miss me jeans I might scream;;;;
11001;2013-01-12;OMG ITS LIKE A CRIME TO WEAR JEANS WHEN YOU ARENT GOING ANYWHERE IN THIS HOUSE;;;;
11002;2013-01-12;That awkward moment when Jeans dad walks in when we're dancing ...;;;;
11003;2013-01-12;Skinny jeans and a north face;;;;
11005;2013-01-12;wearing boxers in these jeans was a mistake I have no fucking idea what my dick is doing right now;;;;
11006;2013-01-12;" @MrStunz : A man said they think I'm gay because I wear skinny jeans "" skinny jeans are for women mate.. Fuck boy..""// lol";;@MrStunz;;
11007;2013-01-12;LMFAO RT @SexSymbolJosh: Nigga came to a fight in some skinny jeans smh of course he was gonna lose;;@SexSymbolJosh;;
11008;2013-01-12;Well fuck...just found two rips in these jeans .;;;;
11009;2013-01-12;Blue jeans , white shirt;;;;
11011;2013-01-13;@chinkyeyes0406 girl ur so skinny I know that's a challenge, wet seal sells double zero jeans lol I used to wear that size before I gained.;;@chinkyeyes0406;;
11012;2013-01-13;I want a jeans jacket;;;;
11013;2013-01-13;Apple bottom jeans boots with the fuuuuuuuuurrrr;;;;
11014;2013-01-13;( : Got my Vera Wang nightie washed and my Frosty the Snowman PJ's 4 when the temps dip again, my fave jeans , ++++++;;;;
11015;2013-01-13;@JoshYee @_JohnBailey I know its like saying ive never worn jeans;;@JoshYee @_JohnBailey;;
11016;2013-01-13;@Sweetee_sweet girl!! Ass like that can't fit jeans right!! I'm finna go squats so mines can some more lift tho;;@Sweetee_sweet;;
11019;2013-01-13;@Young_Foreveerr Yoga pants beat jeans everyday;;@Young_Foreveerr;;
11020;2013-01-13;I spy white denim sagging jeans and off white Air Force 1's....;;;;
11021;2013-01-13;She's a yellow pair of running shoes, a holey pair of jeans , she looks great in cheap sunglasses, she looks great in anything.;;;;
11022;2013-01-13;I was this close to washing my headphones in my jeans . Whew.;;;;
11023;2013-01-13;Just realised I've been wearing the same pair of jeans for about a week now because I don't own winter clothes. I'm so classy.;;;;
11024;2013-01-13;My life would be better if all my jeans were about 4 inches longer;;;;
11025;2013-01-13;Is it socially acceptable to wear the comfiest leather looking jeans , to college?;;;;
11026;2013-01-13;U lookin good in them tigh jeans;;;;
11027;2013-01-13;@freshjay lol the jeans rested so nice on that shoe. They did a good job with those.;;@freshjay;;
11029;2013-01-13;Jeans is on:);;;;
11030;2013-01-13;@BenbainHewitson another leather jacket probs its my style haha, i'll get jeans also and some sneaks;;@BenbainHewitson;;
11031;2013-01-13;“ @TeamAthleteLife : Sweatpants > Jeans ” all the time;;@TeamAthleteLife;;
11032;2013-01-13;Tomorrow will most likely be the only day I wear jeans this week.. Gotta be comfy. #exams;Saginaw Township South, MI;;#exams;
11033;2013-01-13;For Saturday Cabaret there will be a Dress Code:No Head Gear, Hoodies, Plain White Tees, Jeans , or Sneakers;;;;
11034;2013-01-13;I'm wearing @oldnavy jeans and a @Target T-shirt. #whatimwearing #eredcarpet #GoldenGlobes;;@oldnavy @Target;#whatimwearing #eredcarpet #GoldenGlobes;
11035;2013-01-13;@JericaMalone Aye. *slipping down my stretch jeans with the help of @TNT_Travis_BD * I s'pose me knickers need ta go as weel? *feeling>;;@JericaMalone @TNT_Travis_BD;;
11037;2013-01-13;@FaithfulNiklaus {I slide off your jeans & vs speed pushing you into the chair.} U most definitely want to sit for this niklaus {kisses --;;@FaithfulNiklaus;;
11038;2013-01-13;If you wear True Religion jeans , you're a fag.;;;;
11039;2013-01-13;Someone be daring and come in a costume or jeans and a jumper. Just to be different!;;;;
11040;2013-01-13;Is it weird that I find sleeping in jeans comfortable?;;;;
11041;2013-01-13;i hate when im wearing like jeans and winterish clothes and then i get hot so i put on summer clothes and then im cold --_--;;;;
11042;2013-01-13;She Wanna Do Me Cause I Got Polo Screws And True Jeans;;;;
11043;2013-01-13;Puhhhlease, she ain't got a thing on me. Trying to rock them ugly jeans . #cherlloyd;;;#cherlloyd;
11044;2013-01-13;@littlekamycki ill come into school with bright pink jeans an orange shirt leopard prit shoes and a blue beanie tomorrow just for you;;@littlekamycki;;
11045;2013-01-13;I wonder what that dark stain on the seat of these jeans is? #FartinGarten;;;#FartinGarten;
11049;2013-01-13;I have to put a cuff in my jeans;;;;
11050;2013-01-13;@likewhateverhol Maybe your jeans loosened in the wash?;;@likewhateverhol;;
11051;2013-01-13;“ @CoreyJacksonS : I actually like wearing jeans .”;;@CoreyJacksonS;;
11052;2013-01-13;She came out them true religion jeans & drop down to her knees;;;;
11054;2013-01-13;My brothers new silver jeans > my old ones... Yeah, I need more..;;;;
11057;2013-01-13;dear metalheads/bandkids: we get that you'd rather wear your band tshirts and skinny jeans everywhere. we just don't care. shut up about it.;;;;
11063;2013-01-13;lol if u can smell it through her jeans;;;;
11064;2013-01-13;I wish @KR3W_DENIM had a bike team so I could get the worlds best jeans for free..;;@KR3W_DENIM;;
11065;2013-01-13;In the spirit of the #goldenglobes , my jeans are from Polo, t-shirt from Banana Republic.;;;#goldenglobes;
11066;2013-01-13;Perfect outfit for tomorrow: lace tights worn under ripped jeans , black boots and baggy top or sweater yay;;;;
11067;2013-01-13;@errgirl How much did you lose? I'm down to like 151, I was 148 pre-Hayden. Pre-Cadence I was 138. I wanna go back there Size 6 jeans ? Hello;;@errgirl;;
11069;2013-01-13;I bought jeans in a 3 and a 5 and they still don't fit right but I'm obviously not a 1 why;;;;
11070;2013-01-13;2 pairs of jeans , a dress , 2 shirts and new coach wristlet . Successful shopping trip (:;;;;
11071;2013-01-13;If you wear flip flops with jeans don't bother talking to me.;;;;
11072;2013-01-13;Crazy how when white ppl wear dirty vans n cut jeans n shit it beat Cool n in style bt let a nigga wear they shit we gone get calls bummy;;;;
11073;2013-01-13;I am such a denim head I love guys n nice jeans !!!!;;;;
11076;2013-01-13;If only i can..........if only i can. RT @MatreshkaCats : @_itspeachypink me pakai tshirt slipar n jeans *yawn*;;@MatreshkaCats @_itspeachypink;;
11077;2013-01-13;Blue Jeans , White shirt , walked into the room you know you make my eyes burn;;;;
11078;2013-01-13;Hello ladies diorder jeans jegging zara & hiwist harga murmer bahan asli import cp:085219155797 @FashionjeansOn;;@FashionjeansOn;;
11079;2013-01-13;Gonna find my jeans and rock up to work in a @forourhero shirt. Starting my retail course today! #foodworks #keysborough;;@forourhero;#foodworks #keysborough;
11081;2013-01-13;My prince in blue jeans is very sexy;;;;
11082;2013-01-13;@Mila_Jboul: I cant not match my hijab with my jeans #NEVER . Swaggggg queeeeeennnn :*;;@Mila_Jboul;#NEVER;
11086;2013-01-13;I don't understand why they put flies on women's jeans , it's not as if they have any use, and I always forget to do them up;;;;
11087;2013-01-13;@garfep as well. IE: blazer only with jeans . I'm good with the clothes man!;;@garfep;;
11088;2013-01-13;But please ladies let's not wear jeans with a denim jacket and a denim shirt.;;;;
11089;2013-01-13;Paid $20 bucks for these jeans . Just paid $10 to have them hemmed. #shortgirlproblems;;;#shortgirlproblems;
11090;2013-01-13;Just gotta pair of jeans , now i can actually wear somethin other then sweatpants,, #Clutch;;;#Clutch;
11091;2013-01-13;imagine harry having a daughter. one day she walks out in skinnies & he tells her theyre too tight & shed be like dad ur jeans are tighter..;;;;
11092;2013-01-13;@ElyseODellBD *Starts slowly, carefully, helping you out of your jeans , watching your face* I'll be extra careful, Irish. @JericaMalone;;@ElyseODellBD @JericaMalone;;
11093;2013-01-13; @AlexPosts : Yoga pants, sweat pants & leggings > jeans ;;@AlexPosts;;
11094;2013-01-13;When my mom buys me jeans & polos >>>>;;;;
11095;2013-01-13;What i would do for some gloria jeans right now;;;;
11096;2013-01-13;Dad and Glen talking about what their favorite Buckle jeans are and how perfect they fit them. #girlswillbegirls;;;#girlswillbegirls;
11097;2013-01-13;I swear , I dk when the last time I wore jeans ..;;;;
11098;2013-01-13;Hell No im not going to my aunt jeans house hell nahh;;;;
11099;2013-01-13;I'm gunna wear jeans all week;;;;
11101;2013-01-13;How the hell do I keep my American Eagle jeans from turning everything blue;;;;
11103;2013-01-13;“ @PumasDen : NO!! RT @WayneStoleYanna: @PumasDen Mr. Blake Can We Wear Jeans Tomorrow?” Lmao Why not mr blake;;@PumasDen @WayneStoleYanna @PumasDen;;
11104;2013-01-13;Just bought two jean shirts but I have no idea what to wear them with...all I have is jeans ....;;;;
11105;2013-01-13;"@EdmontonOilers @rnh_93 @ebs_14 First glance those looked like ""cool dad"" jeans .";;@EdmontonOilers @rnh_93 @ebs_14;;
11106;2013-01-13;By the same token, I can't stand hardcore kids who give people shit for wearing normal jeans .;;;;
11107;2013-01-13;Okay, shift complete. None of my wounds reopened and spilled all over my jeans . I'd say today's goals have been met.;;;;
